Фото;Товар;Артикул;Производитель;Номер производителя;Раздел;Цена;Валюта;Источник цены;Дата парсинга;URL
https://media.adeo.com/media/3920586/media.png?width=300;Regulador PWM BlueSolar 12/24V 5A LCD USB Victron;90106909;;;Equipamiento de emergencia para el hogar;26.99;EUR;extension-list;06.09.2026, 18:17:07;https://www.leroymerlin.es/productos/regulador-pwm-bluesolar-12-24v-5a-lcd-usb-victron-90106909.html
https://media.adeo.com/media/3459810/media.jpg?width=300;Diferencial rearmable 40A SCHNEIDER ELECTRIC;85715249;Schneider Electric;;Equipamiento de emergencia para el hogar;;;;06.09.2026, 18:17:07;https://www.leroymerlin.es/productos/diferencial-rearmable-40a-schneider-electric-85715249.html
https://media.adeo.com/mkp/f3eee544bc3246ba401ec21a1493e647/media.jpg?width=100;Estación de energía electrica portátil Powerbank De 42000 Mah Bresser;87612585;Estación;;Equipamiento de emergencia para el hogar;;;;06.09.2026, 18:17:07;https://www.leroymerlin.es/productos/estacion-de-energia-electrica-portatil-powerbank-de-42000-mah-bresser-87612585.html
https://www.leroymerlin.es/cdp-site/6.66.0/static/images/common/loader-v2.svg;Batería Solar AGM SOLARX-14 XUNZEL 12V 14Ah sin mantenimiento;15276170;Xunzel;;Equipamiento de emergencia para el hogar;30.99;EUR;extension-list;06.09.2026, 18:17:07;https://www.leroymerlin.es/productos/bateria-solar-agm-solarx-14-xunzel-12v-14ah-sin-mantenimiento-15276170.html
https://media.adeo.com/mkp/936c635a73c92521356fa8b0817a8d67/media.jpg?width=100;Luz solar de pared para exteriores, paquete de 2 luces arriba y abajo, luz solar para iluminación LED, luz de pared impermeable (blanco cálido);91789491;Luz;;Equipamiento de emergencia para el hogar;28.41;EUR;extension-list;06.09.2026, 18:17:07;https://www.leroymerlin.es/productos/luz-solar-de-pared-para-exteriores-paquete-de-2-luces-arriba-y-abajo-luz-solar-para-iluminacion-led-luz-de-pared-impermeable-blanco-calido-91789491.html
https://www.leroymerlin.es/cdp-site/6.66.0/static/images/common/loader-v2.svg;Desconectador de Baterías 600A;89894221;;;Equipamiento de emergencia para el hogar;29.99;EUR;extension-list;06.09.2026, 18:17:07;https://www.leroymerlin.es/productos/desconectador-de-baterias-600a-89894221.html
https://www.leroymerlin.es/cdp-site/6.66.0/static/images/common/loader-v2.svg;Batería solar LFP UPOWER 6Ah 12.8V;89876584;Batería;12.8V;Equipamiento de emergencia para el hogar;30.99;EUR;extension-list;06.09.2026, 18:17:07;https://www.leroymerlin.es/productos/bateria-solar-lfp-upower-6ah-12-8v-89876584.html
https://www.leroymerlin.es/cdp-site/6.66.0/static/images/common/loader-v2.svg;Batería solar de gel U-POWER GEL 12V 40Ah;82461722;Batería;;Equipamiento de emergencia para el hogar;87.99;EUR;extension-list;06.09.2026, 18:17:07;https://www.leroymerlin.es/productos/bateria-solar-de-gel-u-power-gel-12v-40ah-82461722.html
https://media.adeo.com/media/4237489/media.png?width=300;Protección BACK-UP TOSCANO COMBI-PRO-MAX 2X40A 240VAC M/F;92460771;Toscano;;Equipamiento de emergencia para el hogar;;;;06.09.2026, 18:17:07;https://www.leroymerlin.es/productos/proteccion-back-up-toscano-combi-pro-max-2x40a-240vac-m-f-92460771.html
https://media.adeo.com/media/1872967/media.jpg?width=300;Limitador sobretensiones permanentes HAGER tetrapolar 63A;19466643;;;Equipamiento de emergencia para el hogar;;;;06.09.2026, 18:17:07;https://www.leroymerlin.es/productos/limitador-sobretensiones-permanentes-hager-tetrapolar-63a-19466643.html
